requirement_id,story_id,acceptance_id,flow_id,component_id,contract_ref,verification_ref
SYS-FR-001,US-007,AC-001,STARTUP,database,none,TraderSpec/codebase/scripts/start-base-uncontainerized-hydrated.sh
SYS-FR-001,US-007,AC-001,STARTUP,reference-data,TraderSpec/speckit/contracts/reference-data/openapi.yaml,TraderSpec/codebase/scripts/start-base-uncontainerized-hydrated.sh
SYS-FR-001,US-007,AC-001,STARTUP,trade-feed,none,TraderSpec/codebase/scripts/start-base-uncontainerized-hydrated.sh
SYS-FR-001,US-007,AC-001,STARTUP,people-service,TraderSpec/speckit/contracts/people-service/openapi.yaml,TraderSpec/codebase/scripts/start-base-uncontainerized-hydrated.sh
SYS-FR-001,US-007,AC-001,STARTUP,account-service,TraderSpec/speckit/contracts/account-service/openapi.yaml,TraderSpec/codebase/scripts/start-base-uncontainerized-hydrated.sh
SYS-FR-001,US-007,AC-001,STARTUP,position-service,TraderSpec/speckit/contracts/position-service/openapi.yaml,TraderSpec/codebase/scripts/start-base-uncontainerized-hydrated.sh
SYS-FR-001,US-007,AC-001,STARTUP,trade-processor,TraderSpec/speckit/contracts/trade-processor/openapi.yaml,TraderSpec/codebase/scripts/start-base-uncontainerized-hydrated.sh
SYS-FR-001,US-007,AC-001,STARTUP,trade-service,TraderSpec/speckit/contracts/trade-service/openapi.yaml,TraderSpec/codebase/scripts/start-base-uncontainerized-hydrated.sh
SYS-FR-001,US-007,AC-001,STARTUP,web-front-end-angular,none,TraderSpec/codebase/scripts/start-base-uncontainerized-hydrated.sh
SYS-FR-002,US-001,AC-002,F1,account-service,TraderSpec/speckit/contracts/account-service/openapi.yaml,TraderSpec/codebase/scripts/test-account-service-overlay.sh
SYS-FR-003,US-002,AC-003,F2,position-service,TraderSpec/speckit/contracts/position-service/openapi.yaml,TraderSpec/codebase/scripts/test-position-service-overlay.sh
SYS-FR-004,US-004,AC-003,F2,trade-feed,none,TraderSpec/codebase/scripts/test-trade-feed-overlay.sh
SYS-FR-005,US-003,AC-004,F3,reference-data,TraderSpec/speckit/contracts/reference-data/openapi.yaml,TraderSpec/codebase/scripts/test-reference-data-overlay.sh
SYS-FR-006,US-003,AC-004,F3,trade-service,TraderSpec/speckit/contracts/trade-service/openapi.yaml,TraderSpec/codebase/scripts/test-trade-service-overlay.sh
SYS-FR-006,US-003,AC-004,F3,account-service,TraderSpec/speckit/contracts/account-service/openapi.yaml,TraderSpec/codebase/scripts/test-trade-service-overlay.sh
SYS-FR-007,US-004,AC-005,F4,trade-processor,TraderSpec/speckit/contracts/trade-processor/openapi.yaml,TraderSpec/codebase/scripts/test-trade-processor-overlay.sh
SYS-FR-007,US-004,AC-005,F4,database,none,TraderSpec/codebase/scripts/test-database-overlay.sh
SYS-FR-008,US-005,AC-006,F5,account-service,TraderSpec/speckit/contracts/account-service/openapi.yaml,TraderSpec/codebase/scripts/test-account-service-overlay.sh
SYS-FR-009,US-006,AC-007,F6,people-service,TraderSpec/speckit/contracts/people-service/openapi.yaml,TraderSpec/codebase/scripts/test-people-service-overlay.sh
SYS-FR-009,US-006,AC-007,F6,account-service,TraderSpec/speckit/contracts/account-service/openapi.yaml,TraderSpec/codebase/scripts/test-people-service-overlay.sh
SYS-FR-010,US-007,AC-001,STARTUP,trade-service,TraderSpec/speckit/contracts/trade-service/openapi.yaml,TraderSpec/codebase/scripts/status-base-uncontainerized-hydrated.sh
SYS-FR-011,US-008,AC-009,STARTUP,reference-data,TraderSpec/speckit/contracts/reference-data/openapi.yaml,TraderSpec/codebase/scripts/test-reference-data-overlay.sh
SYS-FR-011,US-008,AC-009,STARTUP,people-service,TraderSpec/speckit/contracts/people-service/openapi.yaml,TraderSpec/codebase/scripts/test-people-service-overlay.sh
SYS-FR-011,US-008,AC-009,STARTUP,account-service,TraderSpec/speckit/contracts/account-service/openapi.yaml,TraderSpec/codebase/scripts/test-account-service-overlay.sh
SYS-FR-011,US-008,AC-009,STARTUP,position-service,TraderSpec/speckit/contracts/position-service/openapi.yaml,TraderSpec/codebase/scripts/test-position-service-overlay.sh
SYS-FR-011,US-008,AC-009,STARTUP,trade-service,TraderSpec/speckit/contracts/trade-service/openapi.yaml,TraderSpec/codebase/scripts/test-trade-service-overlay.sh
SYS-FR-011,US-008,AC-009,STARTUP,trade-processor,TraderSpec/speckit/contracts/trade-processor/openapi.yaml,TraderSpec/codebase/scripts/test-trade-processor-overlay.sh
SYS-NFR-001,US-001,AC-008,F1,reference-data,TraderSpec/speckit/contracts/reference-data/openapi.yaml,TraderSpec/codebase/scripts/test-reference-data-overlay.sh
SYS-NFR-001,US-001,AC-008,F1,people-service,TraderSpec/speckit/contracts/people-service/openapi.yaml,TraderSpec/codebase/scripts/test-people-service-overlay.sh
SYS-NFR-001,US-001,AC-008,F1,account-service,TraderSpec/speckit/contracts/account-service/openapi.yaml,TraderSpec/codebase/scripts/test-account-service-overlay.sh
SYS-NFR-002,US-007,AC-001,STARTUP,database,none,TraderSpec/catalog/base-uncontainerized-processes.csv
SYS-NFR-003,US-007,AC-001,STARTUP,web-front-end-angular,none,TraderSpec/codebase/scripts/test-web-angular-overlay.sh
SYS-NFR-004,US-007,AC-001,STARTUP,trade-feed,none,TraderSpec/codebase/scripts/stop-base-uncontainerized-hydrated.sh
SYS-NFR-005,US-009,AC-009,STARTUP,account-service,TraderSpec/speckit/contracts/account-service/openapi.yaml,TraderSpec/pipeline/speckit/validate-speckit-readiness.sh
SYS-NFR-006,US-001,AC-009,F2,web-front-end-angular,none,TraderSpec/codebase/scripts/test-web-angular-overlay.sh
SYS-NFR-007,US-009,AC-009,STARTUP,trade-service,TraderSpec/speckit/contracts/trade-service/openapi.yaml,TraderSpec/pipeline/validate-regeneration-readiness.sh
SYS-FR-011,US-008,AC-009,INGRESS,ingress,none,gitops/local/Tiltfile
